number,value,datetime_start,datetime_complete,duration,params_disable_text_lora,params_embedding_normalization,params_gradient_accumulation_steps,params_learning_rate,params_lora_alpha,params_lora_rank,params_stride_seconds,params_weight_decay,params_window_seconds,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_validation_accuracy,user_attrs_validation_balanced_accuracy,user_attrs_validation_classification_loss,user_attrs_validation_macro_f1,user_attrs_validation_regression_loss,user_attrs_validation_regression_rmse,user_attrs_validation_regression_rmse_original_scale,system_attrs_fixed_params,state
0,,2026-09-09 02:40:53.018333,2026-09-09 02:41:26.285026,0 days 00:00:33.266693,False,layernorm,2,1e-05,16.0,2.0,20.0,1e-05,30.0,,,,,,,,,,"{'embedding_normalization': 'layernorm', 'disable_text_lora': False, 'lora_rank': 2, 'lora_alpha': 16, 'gradient_accumulation_steps': 2, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'window_seconds': 30.0, 'stride_seconds': 20.0}",FAIL
1,0.110106313302267,2026-09-09 02:42:47.520047,2026-09-09 02:51:30.410407,0 days 00:08:42.890360,True,batchnorm,4,5.110785052766934e-06,,,15.0,0.0001,25.0,170.0,outputs/hpo_text_regression/screening/trial-0001,0.2564102564102564,0.2645833333333333,1.3983827890493932,0.1395120031483668,0.8368285591861182,0.9147833400243568,10.033139335488606,,COMPLETE
2,0.2737283424839265,2026-09-09 02:51:30.463582,2026-09-09 03:03:20.674398,0 days 00:11:50.210816,False,batchnorm,4,8.213253373867844e-06,16.0,2.0,15.0,1e-06,25.0,130.0,outputs/hpo_text_regression/screening/trial-0002,0.5470085470085471,0.2544270833333333,1.3237275099143004,0.1916026536312849,0.6829634526256921,0.8264160287807177,9.063946431012084,,COMPLETE
3,0.2006759790051487,2026-09-09 03:03:20.725328,2026-09-09 03:16:40.321632,0 days 00:13:19.596304,False,layernorm,4,3.829982509898518e-06,16.0,1.0,20.0,1e-05,20.0,200.0,outputs/hpo_text_regression/screening/trial-0003,0.1367521367521367,0.25,1.4085150987674029,0.0601503759398496,0.7516596407084949,0.8669830682940094,9.508876577762718,,COMPLETE
4,0.3182634935106664,2026-09-09 03:16:40.371566,2026-09-09 03:24:29.565912,0 days 00:07:49.194346,False,batchnorm,4,1.6358165301626213e-05,16.0,4.0,15.0,0.0001,20.0,85.0,outputs/hpo_text_regression/screening/trial-0004,0.5213675213675214,0.3655133928571428,1.3129637954581497,0.2451923076923076,0.6410839710382453,0.8006771952780005,8.781648641012861,,COMPLETE
5,0.3139123747938361,2026-09-09 03:24:29.654632,2026-09-09 03:40:35.035155,0 days 00:16:05.380523,False,batchnorm,1,4.4277703242711426e-06,8.0,8.0,10.0,0.0001,25.0,175.0,outputs/hpo_text_regression/screening/trial-0005,0.3076923076923077,0.3403273809523809,1.4077999958625207,0.1991532976827094,0.6451756287958866,0.8032282544805596,8.80962804054575,,COMPLETE
6,0.3091821294047434,2026-09-09 03:40:35.122945,2026-09-09 03:51:53.872937,0 days 00:11:18.749992,False,batchnorm,1,5.095918665102104e-06,16.0,4.0,20.0,0.0,20.0,140.0,outputs/hpo_text_regression/screening/trial-0006,0.5555555555555556,0.3811383928571428,1.3112630151275897,0.2651946818613485,0.649623805575565,0.8059924351850736,8.839945026912476,,COMPLETE
7,0.0944296320754651,2026-09-09 03:51:53.962679,2026-09-09 03:54:28.632848,0 days 00:02:34.670169,True,layernorm,2,2.3601142375052608e-05,,,15.0,0.0001,30.0,,,,,,,,,,,PRUNED
8,0.2685727065426168,2026-09-09 03:54:28.735034,2026-09-09 04:00:33.790572,0 days 00:06:05.055538,False,batchnorm,2,2.904907257968377e-05,4.0,4.0,10.0,1e-06,20.0,55.0,outputs/hpo_text_regression/screening/trial-0008,0.5128205128205128,0.3297991071428571,1.3076858907683282,0.2299157591945757,0.6878116535523269,0.8293441104585761,9.096060975588736,,COMPLETE
9,0.0698831855322658,2026-09-09 04:00:33.883001,2026-09-09 04:03:07.780397,0 days 00:02:33.897396,True,layernorm,4,1.3716822979925751e-05,,,15.0,1e-05,30.0,,,,,,,,,,,PRUNED
